Name,Link
Accounting Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10497&returnto=3288
African and African American Studies Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10501&returnto=3288
Applied Medicine,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10730&returnto=3288
Archaeology and Applied Anthropology BS,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=11164&returnto=3288
Architectural Engineering Technology Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10685&returnto=3288
Art Education Major All Grade,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10507&returnto=3288
Art Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10509&returnto=3288
Automation and Control Engineering Technology Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10511&returnto=3288
Automotive Engineering Technology Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10512&returnto=3288
Aviation Management Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10513&returnto=3288
Biology Major - Bachelor of Arts,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=11168&returnto=3288
Biology Major - Bachelor of Science,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=11167&returnto=3288
Biology with Specialization in Medical Laboratory Science Major (3-plus-1 Program),https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10517&returnto=3288
Business Administration Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10518&returnto=3288
Chemistry Major - Bachelor of Arts,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10521&returnto=3288
Chemistry Major - Bachelor of Science,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10698&returnto=3288
Civil Engineering Technology Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10524&returnto=3288
Communication Sciences and Disorders,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10658&returnto=3288
Computer Engineering Technology Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10530&returnto=3288
Computer Science Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10532&returnto=3288
Construction Management Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10536&returnto=3288
Criminology and Criminal Justice Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10539&returnto=3288
Cultural Communication B.A.,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=11161&returnto=3288
Cybercriminology & Security Studies,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10726&returnto=3288
Data Science B. S.,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=11145&returnto=3288
Digital Communication and Media B.A.,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=11162&returnto=3288
Economics Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10544&returnto=3288
Electronics Engineering Technology Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10546&returnto=3288
Elementary Education Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10548&returnto=3288
Engineering,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10713&returnto=3288
Engineering Technology Management,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10700&returnto=3288
English Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10550&returnto=3288
English Teaching Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10552&returnto=3288
Environmental Geoscience Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10720&returnto=3288
Finance Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10554&returnto=3288
Fine Arts Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10558&returnto=3288
General Studies Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10678&returnto=3288
Geography and Sustainability Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10722&returnto=3288
Geology Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10721&returnto=3288
History Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10572&returnto=3288
Human Development and Family Science,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10576&returnto=3288
Human Resource Development,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=11165&returnto=3288
Information Technology Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10581&returnto=3288
Insurance and Risk Management Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10582&returnto=3288
Intelligence Analysis B.S.,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=11166&returnto=3288
Interior Architecture Design Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10585&returnto=3288
Journalism B.A.,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=11160&returnto=3288
Kinesiology,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10822&returnto=3288
Language Studies Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10589&returnto=3288
Language Studies–Teaching Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10591&returnto=3288
Leadership and Professional Development Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=11157&returnto=3288
Legal Studies Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10594&returnto=3288
Management Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10599&returnto=3288
Manufacturing Engineering Technology Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10500&returnto=3288
Marketing Major,https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10600&returnto=3288
"Mathematics Major, BA",https://catalog.indstate.edu/preview_program.php?catoid=60&poid=10786&returnto=3288
